"Grafico13"
"Tempo (sec)","Coppia motore7 (newton-mm)"
0,2035.79897691839
0.04,2614.64052770979
0.08,3199.81054988384
0.12,1903.57998178258
0.16,2204.06279406581
0.2,-3033.5374281126
0.24,-9009.79412432912
0.28,-9705.54773264814
0.32,-8942.6892082579
0.36,-9580.62215125799
0.4,-10387.4302983418
0.44,-11772.8887378135
0.48,-12489.5784661446
0.52,-7705.89362012545
0.56,-7823.34329598172
0.6,-7752.46029106209
0.64,-7108.00725497985
0.68,-7107.84646280862
0.72,-5292.45647039252
0.76,-5035.20004178955
0.8,-1539.25384263104
0.84,340.186235530582
0.88,1427.23830935803
0.92,6221.87175624672
0.96,8291.47674397832
1,10023.2097148472
1.04,12479.7778606645
1.08,14756.3521461882
1.12,9897.92955430675
1.16,10830.2422570904
1.2,10921.7706582504
1.24,10340.5434979443
1.28,10940.2726394541
1.32,15369.1148430137
1.36,16440.0096847367
1.4,15815.8778024641
1.44,11420.7818211779
1.48,11691.0989074708
1.52,-83.2338315861448
1.56,-667.078341026847
1.6,-771.045405595533
1.64,703.508855736283
1.68,253.029541708135
1.72,-873.626830110985
1.76,-1364.00871548723
1.8,-2207.85305983366
1.84,-3965.72791336914
1.88,-4537.76493907297
1.92,-7163.71908456799
1.96,-7820.98936872658
2,-9137.8023949373
2.04,-11741.7330387517
2.08,-12523.5693413041
2.12,-12372.7113250167
2.16,-13171.07852707
2.2,-8215.08477997741
2.24,-7164.72648306732
2.28,-7213.49485811371
2.32,-7524.96957755081
2.36,-7607.7089171616
2.4,-7346.33519736511
2.44,-6974.71738600836
2.48,-6957.87651131243
2.52,-1874.25571387297
2.56,-1052.4085455167
2.6,-110.32642056681
2.64,1246.45187717717
2.68,2291.28176888143
2.72,1899.59870948284
2.76,2722.69385155096
2.8,3461.63587188322
2.84,3715.96654041831
2.88,4465.32294998855
2.92,5511.88659454519
2.96,6326.14981449676
3,7331.90250207542
3.04,9029.71055774499
3.08,10017.9791960934
3.12,8818.99211818314
3.16,9465.90435389695
3.2,10899.2082226448
3.24,16648.2462723072
3.28,18046.770907008
3.32,9129.48974872279
3.36,9267.58207418846
3.4,-1225.3038169747
3.44,-3732.12638274236
3.48,-4399.33434845812
3.52,-3810.87040170356
3.56,-4425.0069443587
3.6,-4820.2103240078
3.64,-4635.01121970026
3.68,-5210.6105125084
3.72,-12188.7456089239
3.76,-12911.5737460441
3.8,-13977.3863966079
3.84,-14822.6775567899
3.88,-15746.8697551845
3.92,-8056.80007912681
3.96,-8241.00923635619
4,-7763.63368023763
4.04,-5770.42649654099
4.08,-5595.58679324242
4.12,-2993.60955107255
4.16,-2431.29730835302
4.2,3849.47733111772
4.24,4137.95378111383
4.28,5817.02963171207
4.32,4220.60979387512
4.36,5323.3791629942
4.4,5368.84691804686
4.44,1784.82657218907
4.48,2032.58382369449
4.52,12995.6013544142
4.56,15284.2738258745
4.6,16590.4493215435
4.64,15291.1537578522
4.68,16718.2821675746
4.72,14421.6318065124
4.76,15253.051430184
4.8,14057.5083041649
4.84,3787.07658472676
4.88,3452.96720464802
4.92,-10789.6516345126
4.96,-11483.5923629318
5,-12123.496843355
