"grafpitch"
"Tempo (sec)","Beccheggio/Imbardata/Rollio6 (deg)"
0,-1.92246532619317
0.04,0.077534673807824
0.08,2.07753467380666
0.12,3.62153467380659
0.16,4.70953467380644
0.2,5.77461800714004
0.24,1.38553467380672
0.28,-3.0264653261936
0.32,-7.0264653261934
0.36,-10.6144653261934
0.4,-14.2046653261934
0.44,-18.3184653261934
0.48,-22.4344653261934
0.52,-24.7784653261934
0.56,-25.3504653261934
0.6,-25.9200819928601
0.64,-25.9224653261934
0.68,-25.922465326193
0.72,-25.3424653261936
0.76,-24.1824653261934
0.8,-23.0109653261934
0.84,-19.1024653261934
0.88,-15.1824653261934
0.92,-10.2484653261934
0.96,-4.30046532619329
1,1.64701800713979
1.04,7.47153467380654
1.08,13.2955346738067
1.12,17.6575346738067
1.16,20.5575346738067
1.2,23.4540013404734
1.24,25.509534673807
1.28,27.5615346738064
1.32,30.3315346738067
1.36,33.8195346738067
1.4,37.29761800714
1.44,38.4155346738068
1.48,39.5235346738067
1.52,38.4755346738068
1.56,35.2715346738066
1.6,32.0714346738066
1.64,29.7995346738066
1.68,27.5315346738063
1.72,25.1295346738066
1.76,22.5935346738066
1.8,20.0547513404733
1.84,16.8535346738066
1.88,13.6495346738066
1.92,9.96953467380664
1.96,5.81353467380596
2,1.6519680071401
2.04,-3.83446532619329
2.08,-9.32646532619344
2.12,-14.5264653261936
2.16,-19.4344653261937
2.2,-24.3229819928602
2.24,-24.5744653261934
2.28,-24.8064653261935
2.32,-25.1224653261935
2.36,-25.5224653261939
2.4,-25.9204653261934
2.44,-25.8424653261934
2.48,-25.7624653261933
2.52,-24.0764653261934
2.56,-20.7844653261934
2.6,-17.4912653261933
2.64,-13.9124653261932
2.68,-10.3324653261932
2.72,-7.14846532619344
2.76,-4.36046532619324
2.8,-1.57381532619336
2.84,0.891534673806886
2.88,3.35553467380677
2.92,5.88753467380675
2.96,8.48753467380682
3,11.0893180071401
3.04,14.1155346738067
3.08,17.1435346738067
3.12,19.7275346738068
3.16,21.8675346738069
3.2,24.0163846738069
3.24,28.2715346738068
3.28,32.535534673807
3.32,34.9495346738067
3.36,35.5135346738069
3.4,36.0578346738066
3.44,31.9135346738064
3.48,27.7495346738064
3.52,23.8375346738066
3.56,20.1775346738065
3.6,16.5193680071398
3.64,13.2975346738063
3.68,10.0775346738064
3.72,5.29553467380657
3.76,-1.04846532619413
3.8,-7.39314865952788
3.84,-13.9004653261936
3.88,-20.4084653261938
3.92,-24.1144653261936
3.96,-25.0184653261935
4,-25.9153653261935
4.04,-25.1224653261934
4.08,-24.3224653261934
4.12,-22.7624653261933
4.16,-20.4424653261932
4.2,-18.110465326193
4.24,-12.9224653261931
4.28,-7.72246532619294
4.32,-3.38846532619328
4.36,0.0795346738097224
4.4,3.53686800714021
4.44,4.45553467380677
4.48,5.363534673807
4.52,8.73553467380701
4.56,14.5715346738072
4.6,20.4007846738071
4.64,24.623534673807
4.68,28.8395346738071
4.72,32.3835346738069
4.76,35.2555346738069
4.8,38.1088846738068
4.84,36.5235346738068
4.88,34.9195346738065
4.92,30.6835346738063
4.96,23.815534673806
5,16.9475346738066
