"Grafico12"
"Tempo (sec)","Coppia motore6 (newton-mm)"
0,5475.74406803632
0.04,5709.31406661243
0.08,5931.18821434818
0.12,6140.2612410414
0.16,6336.09006247043
0.2,6517.30041201661
0.24,6683.54679435059
0.28,6834.69693015903
0.32,6969.81009104186
0.36,7089.35735243386
0.4,7192.91092713627
0.44,7281.04450310953
0.48,7353.64849281018
0.52,7410.85713742346
0.56,7452.80248595138
0.6,7480.48759317612
0.64,7493.45298042664
0.68,7492.48938058653
0.72,7478.26389310987
0.76,7450.41364096636
0.8,7409.98093968008
0.84,7357.12121536711
0.88,7292.10493752438
0.92,7212.67700958214
0.96,7127.20566500227
1,7027.53161943534
1.04,6915.07492626912
1.08,6786.8259195985
1.12,6643.13296047702
1.16,6483.33102324274
1.2,6306.47070893125
1.24,6113.00631072133
1.28,5901.44028802278
1.32,5671.56436480503
1.36,5422.90800123587
1.4,5153.99740326763
1.44,4864.7313043844
1.48,4554.02568791388
1.52,4220.43557281916
1.56,3863.72952674185
1.6,3482.18540031304
1.64,3074.65172625361
1.68,2640.40037890921
1.72,2177.26787423342
1.76,1684.46359295495
1.8,1160.21910280346
1.84,602.956833734447
1.88,11.3096840082308
1.92,-616.288452315698
1.96,-1281.897180323
2,-1986.56462715397
2.04,-2716.38265082724
2.08,-3457.11724026466
2.12,-4202.24477078636
2.16,-4945.8948518259
2.2,-5682.22316989256
2.24,-6403.06623952449
2.28,-7101.23265917827
2.32,-7769.35839176869
2.36,-8399.08826152137
2.4,-8982.80059584202
2.44,-9513.54425770426
2.48,-9984.06136815021
2.52,-10388.1151143786
2.56,-10720.5385258505
2.6,-10976.3140653691
2.64,-11151.734755902
2.68,-11243.8293223374
2.72,-11250.3445701464
2.76,-11169.5804985196
2.8,-11000.5419312709
2.84,-10742.5415245119
2.88,-10394.8745949426
2.92,-9957.42476134829
2.96,-9429.42727859624
3,-8810.38476878786
3.04,-8139.36964578729
3.08,-7454.15613330191
3.12,-6758.90265218104
3.16,-6057.75479249339
3.2,-5354.52220550302
3.24,-4653.04809979798
3.28,-3956.6327028876
3.32,-3268.59739359519
3.36,-2592.36411653678
3.4,-1930.75107055729
3.44,-1286.33198583244
3.48,-661.475687029762
3.52,-58.4793618126991
3.56,521.606521904364
3.6,1077.14386918544
3.64,1606.77853573274
3.68,2110.29290556296
3.72,2586.84603248951
3.76,3035.1157193819
3.8,3455.40834111739
3.84,3846.73589770504
3.88,4207.54798159553
3.92,4537.30634068007
3.96,4834.38272689267
4,5096.71728923767
4.04,5328.35999235422
4.08,5531.02523809939
4.12,5702.9761292747
4.16,5842.85861678996
4.2,5948.16795536264
4.24,6016.66147758172
4.28,6046.89539596217
4.32,6036.19408173275
4.36,5981.91803334868
4.4,5883.2593414511
4.44,5736.70840460634
4.48,5540.07693928401
4.52,5290.60091159356
4.56,4985.17343925917
4.6,4620.79391982901
4.64,4193.39763657159
4.68,3698.32218650497
4.72,3131.13801755669
4.76,2485.24912213313
4.8,1753.97520221992
4.84,929.624680944408
4.88,2.28371619216398
4.92,-1037.99804891603
4.96,-2203.06803756115
5,-3506.3873235264
