"grafpitch"
"Tempo (sec)","Beccheggio/Imbardata/Rollio6 (deg)"
0,-1.92246532619317
0.04,-4.03707104047905
0.08,-6.04073961190769
0.12,-7.93539104047911
0.16,-9.72294532619381
0.2,-11.4053224690505
0.24,-12.9844424690509
0.28,-14.4622253261938
0.32,-15.8405910404791
0.36,-17.1214596119075
0.4,-18.3067510404792
0.44,-19.3983853261934
0.48,-20.3982824690501
0.52,-21.3083624690506
0.56,-22.1305453261934
0.6,-22.8667510404791
0.64,-23.5188996119077
0.68,-24.0889110404791
0.72,-24.578705326193
0.76,-24.9902024690504
0.8,-25.3253224690506
0.84,-25.5859853261934
0.88,-25.7741110404792
0.92,-25.8916196119077
0.96,-25.9404310404792
1,-25.9224653261934
1.04,-25.8391647547648
1.08,-25.6900607547648
1.12,-25.4742070404794
1.16,-25.1906573261934
1.2,-24.8384653261934
1.24,-24.4166847547649
1.28,-23.9243693261934
1.32,-23.3605727547649
1.36,-22.7243487547649
1.4,-22.0147510404791
1.44,-21.2308333261934
1.48,-20.3716493261934
1.52,-19.4362527547651
1.56,-18.4236973261934
1.6,-17.3330367547649
1.64,-16.1633247547649
1.68,-14.9136150404791
1.72,-13.582961326193
1.76,-12.1704173261934
1.8,-10.6750367547648
1.84,-9.09587332619389
1.88,-7.43198075476484
1.92,-5.68241275476441
1.96,-3.84622304047909
2,-1.92246532619336
2.04,0.0874181023807996
2.08,2.17243067380686
2.12,4.31918724523511
2.16,6.51430267380674
2.2,8.74439181666386
2.24,10.9960695309496
2.28,13.2559506738063
2.32,15.5106501023784
2.36,17.7467826738067
2.4,19.9509632452356
2.44,22.1098066738067
2.48,24.2099278166639
2.52,26.2379415309496
2.56,28.1804626738068
2.6,30.0241061023781
2.64,31.7554866738068
2.68,33.3612192452353
2.72,34.8279186738067
2.76,36.1421998166639
2.8,37.2906775309496
2.84,38.2599666738062
2.88,39.0366821023782
2.92,39.6074386738067
2.96,39.9588512452353
3,40.0775346738072
3.04,39.9545723880924
3.08,39.5989221023781
3.12,39.0240101023786
3.16,38.243262673807
3.2,37.2701061023781
3.24,36.1179666738066
3.28,34.8002706738066
3.32,33.3304443880923
3.36,31.721914102378
3.4,29.988106102378
3.44,28.1424466738066
3.48,26.198362102378
3.52,24.169278673806
3.56,22.0686226738066
3.6,19.9098203880922
3.64,17.7062981023779
3.68,15.471482102378
3.72,13.2187986738065
3.76,10.961674102378
3.8,8.71353467380652
3.84,6.48780667380654
3.88,4.29791638809223
3.92,2.15729010237814
3.96,0.0793541023769731
4,-1.92246532619336
4.04,-3.83563561190793
4.08,-5.65119904047918
4.12,-7.36109161190778
4.16,-8.95724932619352
4.2,-10.4316081833364
4.24,-11.7761041833364
4.28,-12.9826733261935
4.32,-14.0432516119078
4.36,-14.9497750404792
4.4,-15.6941796119077
4.44,-16.2684013261935
4.48,-16.6643761833367
4.52,-16.8740401833363
4.56,-16.8893293261934
4.6,-16.7021796119077
4.64,-16.3045270404791
4.68,-15.6883076119076
4.72,-14.8454573261933
4.76,-13.7679121833362
4.8,-12.4476081833367
4.84,-10.8764813261933
4.88,-9.04646761190754
4.92,-6.9495030404789
4.96,-4.57752361190752
5,-1.92246532619317
