Grafico13;
Tempo (sec);Coppia motore7 (newton-mm)
0;216,0541557
0,04;429,2889772
0,08;641,855574
0,12;737,087808
0,16;705,5060852
0,2;677,213111
0,24;619,8188073
0,28;565,5542873
0,32;587,5734535
0,36;689,6917156
0,4;611,5606382
0,44;1082,559091
0,48;1375,588512
0,52;1619,941084
0,56;1929,374878
0,6;2543,880942
0,64;1591,98017
0,68;834,1267035
0,72;948,1502269
0,76;1887,141971
0,8;2792,91045
0,84;3369,340715
0,88;3829,94402
0,92;4434,450428
0,96;4394,44046
1;5596,747719
1,04;3165,06848
1,08;1181,26249
1,12;1385,950833
1,16;2614,912209
1,2;22409,23727
1,24;6935,69477
1,28;6207,940147
1,32;5532,489007
1,36;4439,093839
1,4;3954,519921
1,44;1224,072127
1,48;-785,2675409
1,52;-1990,620471
1,56;-2451,271072
1,6;-2955,711413
1,64;-3089,282511
1,68;-3139,0505
1,72;-3082,697252
1,76;-2557,487081
1,8;-2120,267463
1,84;-1343,867514
1,88;-645,0463832
1,92;53,88316032
1,96;748,5199749
2;1405,864056
2,04;2070,32161
2,08;2693,046099
2,12;3284,532993
2,16;3677,149048
2,2;4147,210644
2,24;4398,759656
2,28;4560,212992
2,32;4608,976007
2,36;4958,518057
2,4;5769,904771
2,44;5856,210666
2,48;5634,16444
2,52;5670,962199
2,56;2730,6897
2,6;-1047,101804
2,64;-894,0544364
2,68;-1938,15951
2,72;-2765,636822
2,76;-3044,058887
2,8;-3354,734206
2,84;-3517,431401
2,88;-3654,429805
2,92;-3792,687438
2,96;-3740,504215
3;-4098,945463
3,04;-3243,264259
3,08;-2545,159278
3,12;-2046,363635
3,16;-1879,162984
3,2;-2112,422771
3,24;-679,759857
3,28;367,1455146
3,32;1354,698309
3,36;2271,070034
3,4;3109,425937
3,44;3814,751122
3,48;4430,899746
3,52;6240,656495
3,56;5655,518687
3,6;2981,818464
3,64;4645,359521
3,68;5106,329696
3,72;6221,868035
3,76;6250,909352
3,8;7780,195229
3,84;6435,489403
3,88;6150,123523
3,92;6238,800496
3,96;4571,519588
4;2967,54174
4,04;1485,803944
4,08;121,3027681
4,12;-1032,143236
4,16;-1998,528821
4,2;-3436,720316
4,24;-3200,373586
4,28;-3129,65106
4,32;-2943,782048
4,36;-2341,106496
4,4;-1793,201176
4,44;-649,1536986
4,48;419,6998536
4,52;1290,315377
4,56;1977,626657
4,6;2418,455248
4,64;3355,008179
4,68;4067,425095
4,72;6220,53651
4,76;5336,675634
4,8;3957,573786
4,84;4036,959079
4,88;4040,942859
4,92;3940,245064
4,96;4418,522519
5;4870,334974
