"Grafico11"
"Tempo (sec)","Beccheggio/Imbardata/Rollio5 (deg)"
0,0
0.04,0.86799999999974
0.08,1.73600000000021
0.12,2.10599999999974
0.16,1.97799999999978
0.2,1.84961666666661
0.24,1.63000000000002
0.28,1.40999999999928
0.32,1.50799999999998
0.36,1.92399999999989
0.4,2.34336666666667
0.44,3.56400000000028
0.48,4.78799999999994
0.52,5.974
0.56,7.12199999999997
0.6,8.25305
0.64,5.34999999999993
0.68,2.43000000000006
0.72,3.11600000000001
0.76,7.40799999999996
0.8,11.6917666666666
0.84,14.016
0.88,16.332
0.92,17.404
0.96,17.232
1,17.0327166666666
1.04,10.34
1.08,3.61999999999985
1.12,5.76580000000019
1.16,16.7774
1.2,27.7319366666667
1.24,25.1053999999999
1.28,22.4218
1.32,19.2039999999999
1.36,15.452
1.4,11.6823999999999
1.44,3.72399999999989
1.48,-4.25200000000047
1.52,-9.26999999999958
1.56,-11.3300000000002
1.6,-13.3822983333334
1.64,-13.6016000000001
1.68,-13.8132000000001
1.72,-12.9152000000001
1.76,-10.9076000000001
1.8,-8.89701500000004
1.84,-6.17600000000006
1.88,-3.45199999999999
1.92,-0.65399999999973
1.96,2.21800000000024
2,5.09029499999999
2.04,8.03279999999988
2.08,10.9755999999997
2.12,13.3915999999998
2.16,15.2807999999997
2.2,17.1652583333333
2.24,17.9212000000004
2.28,18.6724
2.32,19.9834
2.36,21.8542
2.4,23.71333
2.44,22.7949999999995
2.48,21.8649999999999
2.52,17.1579999999999
2.56,8.67399999999995
2.6,0.205200000000144
2.64,-4.64600000000042
2.68,-9.48200000000049
2.72,-12.5200000000001
2.76,-13.7600000000001
2.8,-14.9973500000002
2.84,-15.6039999999996
2.88,-16.2080000000001
2.92,-16.4000000000006
2.96,-16.1799999999995
3,-15.9500666666667
3.04,-13.3560000000001
3.08,-10.752
3.12,-9.11400000000002
3.16,-8.44200000000016
3.2,-7.75528333333331
3.24,-3.56599999999993
3.28,0.638000000000224
3.32,4.93200000000034
3.36,9.31600000000009
3.4,13.6990666666672
3.44,17.8600000000003
3.48,22.0200000000003
3.52,22.9899999999999
3.56,20.7700000000004
3.6,18.5712833333333
3.64,21.4380000000002
3.68,24.3260000000002
3.72,25.84
3.76,25.9800000000005
3.8,26.11445
3.84,24.9280000000001
3.88,23.736
3.92,20.5119999999996
3.96,15.2559999999994
4,10.000233333333
4.04,4.79999999999975
4.08,-0.400000000001291
4.12,-5.23800000000072
4.16,-9.71400000000045
4.2,-14.1701333333336
4.24,-13.898
4.28,-13.606
4.32,-12.3180000000002
4.36,-10.0340000000004
4.4,-7.74158333333321
4.44,-3.44599999999983
4.48,0.858000000000777
4.52,4.55000000000019
4.56,7.63000000000071
4.6,10.7187000000003
4.64,15.8780000000003
4.68,21.0460000000005
4.72,22.0619999999998
4.76,18.9259999999995
4.8,15.8031499999998
4.84,15.8100000000003
4.88,15.83
4.92,17.1560000000001
4.96,19.7880000000001
5,22.42
