"Grafico12"
"Tempo (sec)","Coppia motore6 (newton-mm)"
0,214.817651707686
0.04,-835.175177845998
0.08,-1748.42261830009
0.12,-2548.62327309569
0.16,-3256.03991341596
0.2,-3887.99179768974
0.24,-4458.38103994559
0.28,-4977.70763569186
0.32,-5454.32705037229
0.36,-5893.84874301764
0.4,-6300.29073518561
0.44,-6676.55197815284
0.48,-7024.10963382261
0.52,-7343.90545224138
0.56,-7636.27446824974
0.6,-7901.36438195996
0.64,-2770.28777222699
0.68,-2321.48964216523
0.72,-1678.62843048157
0.76,-1497.48004745071
0.8,-2475.83493038082
0.84,-4773.32847351541
0.88,-6200.05048547057
0.92,-8029.58391185331
0.96,-8956.90082498189
1,-8911.50021739632
1.0182270046826,-8879.04441509474
1.04,-8830.34961816446
1.08,-8712.84373920748
1.12,-8558.77473413221
1.16,-8368.83142074326
1.2,-8143.48002582935
1.24,-7883.90637449725
1.28,-7591.22910208922
1.32,-7267.32783214955
1.36,-6914.16212228684
1.4,-6534.38598333602
1.44,-6130.45962844412
1.48,-5705.65504904215
1.52,-5262.74088175448
1.56,-4805.60116743748
1.6,-4337.55732473191
1.64,-3862.28389377069
1.68,-3383.15384770779
1.72,-2903.7296889166
1.76,-2427.11013715318
1.8,-1956.56331959034
1.84,-1494.86073633528
1.88,-1044.57090691235
1.92,-607.937562766123
1.96,-187.024455803689
2,216.670559097655
2.04,601.581129190486
2.08,968.019641080329
2.12,1316.40285131065
2.16,1647.1721050147
2.2,1960.66361914329
2.24,2257.51981904128
2.28,2537.87145705567
2.32,2802.32449382695
2.36,3050.85462870431
2.4,3284.16783758336
2.44,3502.24378383121
2.48,3705.62276298262
2.52,3894.12010232937
2.56,4068.24497400405
2.6,4227.75804471893
2.64,4372.18718226048
2.68,4503.51550732726
2.72,4619.66015752156
2.76,4721.22639462852
2.8,4807.98435063722
2.84,4879.75736141038
2.88,4936.217862095
2.92,4977.27058397404
2.96,5002.29618778954
3,5011.11918595935
3.04,5002.83730367133
3.08,4977.56820390729
3.12,4935.06256548696
3.16,4875.69710217514
3.2,4799.51669296498
3.24,4706.42931494804
3.28,4596.85806883493
3.32,4470.79391631323
3.36,4328.74234131178
3.4,4170.55525728026
3.44,3996.93377443891
3.48,3807.89155985414
3.52,3604.11344444336
3.56,3385.73494373539
3.6,3153.51870471315
3.64,2908.06642859052
3.68,2649.67322057216
3.72,2379.46253304377
3.76,2097.76077006944
3.8,1805.71786478477
3.84,1503.93548608641
3.88,1193.41835546411
3.92,875.066515264993
3.96,549.7097092748
4,218.694384251683
4.04,-117.455203149247
4.08,-457.355614020321
4.12,-800.465531020642
4.16,-1145.64500226502
4.2,-1492.07714766267
4.24,-1838.81612297357
4.28,-2184.85976878451
4.32,-2529.57768966982
4.36,-2871.76926274552
4.4,-3210.95608659465
4.44,-3546.13729114049
4.48,-3876.56665316926
4.52,-4201.79550520225
4.56,-4520.93447998712
4.6,-4833.57784411178
4.64,-5139.11413744215
4.68,-5437.12987790224
4.72,-5727.33576312789
4.76,-6009.21311138333
4.8,-6282.74878852853
4.84,-6547.5370131256
4.88,-6803.58463643277
4.92,-7050.71328912318
4.96,-7288.86960339797
4.99252301833481,-7468.23315004969
5,-4814.92615833778
