"Grafico11"
"Tempo (sec)","Beccheggio/Imbardata/Rollio5 (deg)"
0,0
0.04,-4.34488228571438
0.08,-8.41009638095244
0.12,-12.2018502857144
0.16,-15.7263520000001
0.2,-18.9898095238096
0.24,-21.998430857143
0.28,-24.7584240000001
0.32,-27.2759969523811
0.36,-29.5573577142858
0.4,-31.6087142857144
0.44,-33.4362746666668
0.48,-35.046246857143
0.52,-36.444838857143
0.56,-37.6382586666668
0.6,-38.6327142857144
0.64,-39.4344137142859
0.68,-40.0495649523811
0.72,-40.4843760000004
0.76,-40.745054857143
0.8,-40.8378095238095
0.84,-40.7688480000001
0.88,-40.5443782857145
0.92,-40.1706083809525
0.96,-39.6537462857144
1,-39.0000000000006
1.0182270046826,-38.6584130145059
1.04,-38.2158125714287
1.08,-37.3085672380954
1.12,-36.2858822857144
1.16,-35.1553760000001
1.2,-33.9246666666666
1.24,-32.6013725714287
1.28,-31.1931120000001
1.32,-29.7075032380948
1.36,-28.1521645714281
1.4,-26.5347142857144
1.44,-24.8627706666668
1.48,-23.1439520000001
1.52,-21.3858765714287
1.56,-19.5961626666667
1.6,-17.7824285714286
1.64,-15.9522925714286
1.68,-14.1133729523809
1.72,-12.2732880000001
1.76,-10.439656
1.8,-8.6200952380953
1.84,-6.82222399999999
1.88,-5.05366057142861
1.92,-3.32202323809521
1.96,-1.63493028571486
2,0
2.04,1.57632457142856
2.08,3.09230133333324
2.12,4.5473634285713
2.16,5.94094399999998
2.2,7.2724761904767
2.24,8.54139314285714
2.28,9.74712799999998
2.32,10.8891139047619
2.36,11.966784
2.4,12.9795714285714
2.44,13.9269093333334
2.48,14.8082308571428
2.52,15.6229691428571
2.56,16.3705573333333
2.6,17.0504285714286
2.64,17.662016
2.68,18.2047527619047
2.72,18.678072
2.76,19.0814068571429
2.8,19.4141904761905
2.84,19.675856
2.88,19.8658365714282
2.92,19.9835653333328
2.96,20.0284754285714
3,20.0000000000005
3.04,19.8979702857143
3.08,19.7238099047619
3.12,19.4793405714285
3.16,19.166384
3.2,18.7867619047619
3.24,18.3422959999999
3.28,17.8348079999999
3.32,17.2661196190481
3.36,16.6380525714285
3.4,15.9524285714285
3.44,15.2110693333332
3.48,14.4157965714283
3.52,13.5684320000002
3.56,12.6707973333333
3.6,11.7247142857142
3.64,10.7320045714281
3.68,9.69448990476185
3.72,8.61399200000006
3.76,7.49233257142808
3.8,6.33133333333332
3.84,5.13281599999984
3.88,3.89860228571422
3.92,2.63051390476181
3.96,1.33037257142885
4,0
4.04,-1.35886171428643
4.08,-2.74478895238127
4.12,-4.15643771428605
4.16,-5.59246400000016
4.2,-7.05152380952446
4.24,-8.53227314285733
4.28,-10.0333680000002
4.32,-11.5534643809526
4.36,-13.0912182857145
4.4,-14.6452857142859
4.44,-16.2143226666672
4.48,-17.7969851428574
4.52,-19.3919291428574
4.56,-20.9978106666668
4.6,-22.6132857142861
4.64,-24.2370102857145
4.68,-25.8676403809526
4.72,-27.5038320000005
4.76,-29.1442411428577
4.8,-30.7875238095236
4.84,-32.4323360000002
4.88,-34.077333714286
4.92,-35.7211729523812
4.96,-37.362509714286
4.99252301833481,-38.6942669048683
5,-39.0000000000001
