"Grafico13"
"Tempo (sec)","Coppia motore7 (newton-mm)"
0,22963.6248647177
0.04,23508.0435525459
0.08,23857.6929489638
0.12,8773.32107723114
0.16,8912.67353126147
0.2,4185.62857897406
0.24,-6079.30820939314
0.28,-6354.54577222197
0.32,-4912.01042916197
0.36,-5111.36125119658
0.4,-5551.80762074342
0.44,-7164.32500274261
0.48,-7406.58612981788
0.52,-16261.6955483243
0.56,-16702.3583229135
0.6,-17382.4050793523
0.64,-19499.8331005415
0.68,-19672.9189946322
0.72,-21959.0508101323
0.76,-21810.8679320969
0.8,-20364.4767896288
0.84,-15568.7783523649
0.88,-15392.4991281264
0.92,-16167.764773627
0.96,-15751.0443180236
1,-11975.1442646229
1.04,412.131035943734
1.08,605.413258640006
1.12,10626.9283689146
1.16,11782.2258630392
1.2,11695.0870263684
1.24,10231.3446244855
1.28,10949.2232377309
1.32,20541.5293470401
1.36,21829.6009450023
1.4,23494.3996600682
1.44,27941.7100900893
1.48,28669.4281334597
1.52,19888.098586858
1.56,20108.044210678
1.6,11639.2082177061
1.64,1307.8295693164
1.68,1276.62967805553
1.72,-9641.7886172808
1.76,-10102.8930044017
1.8,-23730.6323300223
1.84,-28841.2612711914
1.88,-29633.1669539501
1.92,-26495.306580883
1.96,-26582.1483000467
2,-25948.7346189273
2.04,-21912.673802386
2.08,-21498.7801035191
2.12,-13606.8437807043
2.16,-13469.848954265
2.2,-4544.63411235354
2.24,-6040.03667496108
2.28,-6071.79642924471
2.32,-1460.69435353247
2.36,-1390.29962680851
2.4,-1148.55654377678
2.44,-869.042106393926
2.48,-762.059442530458
2.52,12880.4135588614
2.56,14135.3005895347
2.6,26795.7348180891
2.64,26123.7958618756
2.68,27850.765351198
2.72,28456.768120075
2.76,29508.5237984842
2.8,29398.0759804062
2.84,28049.2980666218
2.88,27860.402383919
2.92,21534.6427523917
2.96,21190.4321205991
3,10673.0897658714
3.04,14098.2922807642
3.08,13907.8655139683
3.12,3509.51845953103
3.16,3500.31843312865
3.2,-6374.68951311557
3.24,-5392.56187810116
3.28,-5923.55578658434
3.32,-16927.6359953107
3.36,-18516.1546888417
3.4,-20937.1333852754
3.44,-22138.4337628709
3.48,-23310.1734492193
3.52,-26504.5541601094
3.56,-27258.8471502063
3.6,-27625.0201439654
3.64,-27712.7654248166
3.68,-27467.6837972048
3.72,-18091.6579645333
3.76,-17921.7194260588
3.8,-17783.3492752086
3.84,-17789.9262990789
3.88,-17292.836532564
3.92,-14396.3670006766
3.96,-13997.542626179
4,-13107.6078646746
4.04,-11674.2718629976
4.08,-11334.3463151572
4.12,4524.32510048763
4.16,5400.38049138168
4.2,3226.99268853576
4.24,1082.73161776001
4.28,1345.34048313505
4.32,7202.19007459868
4.36,8027.80895362099
4.4,20497.091503603
4.44,20723.4757269784
4.48,22665.0401522137
4.52,19806.4508008131
4.56,20930.7360766005
4.6,22275.97964966
4.64,24950.783365632
4.68,25572.0571239889
4.72,18875.0111360325
4.76,19098.1118557795
4.8,22010.4645626514
4.84,25407.1720701873
4.88,24899.8033023616
4.92,16126.2065747941
4.96,15899.4049893676
5,15619.3778025233
