"yaw graf"
"Tempo (sec)","Beccheggio/Imbardata/Rollio4 (deg)"
0,-89.9999990621795
0.04,-85.9107990621795
0.08,-81.8215990621795
0.12,-79.1211990621795
0.16,-77.8095990621795
0.2,-76.5094840621795
0.24,-77.9427990621789
0.28,-79.3875990621795
0.32,-80.6807990621793
0.36,-81.8223990621795
0.4,-82.9652207288461
0.44,-84.3987990621795
0.48,-85.8335990621793
0.52,-88.026799062179
0.56,-90.9783990621795
0.6,-93.9316007288462
0.64,-97.265999062179
0.68,-100.60199906218
0.72,-104.147999062179
0.76,-107.90399906218
0.8,-111.65509906218
0.84,-114.23999906218
0.88,-116.81999906218
0.92,-119.50999906218
0.96,-122.30999906218
1,-125.09359906218
1.04,-123.97399906218
1.08,-122.83799906218
1.12,-120.58599906218
1.16,-117.21799906218
1.2,-113.852965728846
1.24,-111.193999062179
1.28,-108.53799906218
1.32,-105.055999062179
1.36,-100.747999062179
1.4,-96.4370323955127
1.44,-91.4199990621793
1.48,-86.3999990621793
1.52,-82.1999990621795
1.56,-78.8199990621792
1.6,-75.4547007288461
1.64,-75.5883990621795
1.68,-75.7367990621795
1.72,-76.88279906218
1.76,-79.0263990621795
1.8,-81.1829157288462
1.84,-86.4135990621796
1.88,-91.6571990621791
1.92,-96.5831990621795
1.96,-101.19159906218
2,-105.796630728846
2.04,-109.599999062179
2.08,-113.39999906218
2.12,-116.39199906218
2.16,-118.57599906218
2.2,-120.752932395513
2.24,-121.24799906218
2.28,-121.73599906218
2.32,-121.67999906218
2.36,-121.07999906218
2.4,-120.479665728846
2.44,-119.799999062179
2.48,-119.11999906218
2.52,-116.983999062179
2.56,-113.391999062179
2.6,-109.792765728846
2.64,-104.471999062179
2.68,-99.1439990621792
2.72,-93.8699990621795
2.76,-88.6499990621792
2.8,-83.4315990621792
2.84,-78.5939990621794
2.88,-73.7579990621793
2.92,-69.5007990621792
2.96,-65.8223990621791
3,-62.1498023955126
3.04,-59.8583990621795
3.08,-57.5727990621793
3.12,-56.5139990621798
3.16,-56.6819990621791
3.2,-56.8582157288462
3.24,-58.9899990621795
3.28,-61.1299990621796
3.32,-64.3399990621799
3.36,-68.6199990621796
3.4,-72.9006323955131
3.44,-77.3319990621793
3.48,-81.7639990621798
3.52,-86.3939990621796
3.56,-91.2219990621796
3.6,-96.0499490621798
3.64,-100.86599906218
3.68,-105.68199906218
3.72,-109.611999062179
3.76,-112.65599906218
3.8,-115.700482395513
3.84,-118.85999906218
3.88,-122.01999906218
3.92,-124.87999906218
3.96,-127.43999906218
4,-129.998115728846
4.04,-132.10799906218
4.08,-134.21599906218
4.12,-133.815999062179
4.16,-130.907999062179
4.2,-128.006182395513
4.24,-126.575999062179
4.28,-125.151999062179
4.32,-123.065999062179
4.36,-120.317999062179
4.4,-117.561049062179
4.44,-112.673999062179
4.48,-107.777999062179
4.52,-103.295999062179
4.56,-99.2279990621791
4.6,-95.1583490621791
4.64,-90.6959990621792
4.68,-86.231999062179
4.72,-82.3999990621793
4.76,-79.1999990621791
4.8,-75.994999062179
4.84,-71.5999990621791
4.88,-67.199999062179
4.92,-63.6679990621793
4.96,-61.0039990621792
5,-58.3399990621792
