"Grafico12"
"Tempo (sec)","Coppia motore6 (newton-mm)"
0,28532.2315120013
0.04,27396.4842000762
0.08,25985.8787900077
0.12,24390.3952260667
0.16,22708.3051733824
0.2,20995.6340414438
0.24,19308.0483064544
0.28,17677.6614412661
0.32,16147.2604297561
0.36,14714.2886265816
0.4,13395.2577841126
0.44,12189.7808501434
0.48,11091.2151482673
0.52,10105.8994843094
0.56,9210.05472951029
0.6,8398.72097149383
0.64,7664.05945596472
0.68,6983.94577950646
0.72,6365.40923415006
0.76,5784.12003835993
0.8,5233.61996029174
0.84,4715.32136816621
0.88,4190.79740612192
0.92,3682.45825871718
0.96,3170.25381641547
1,2658.0052993779
1.04,2116.63985137503
1.08,1564.50438550213
1.12,989.177486309082
1.16,394.623439791762
1.2,-239.113335351004
1.24,-893.591610978774
1.28,-1575.58468797651
1.32,-2288.27659889691
1.36,-3012.56369673642
1.4,-3760.82666515221
1.44,-4527.8093626617
1.48,-5291.66599396306
1.52,-6059.4924039487
1.56,-6820.72676863287
1.6,-7567.79153834361
1.64,-8285.00967688763
1.68,-8973.91795154514
1.72,-9628.5954277515
1.76,-10223.5859360161
1.8,-10772.1316357111
1.84,-11258.7805854871
1.88,-11684.6532348823
1.92,-12029.3599351805
1.96,-12307.8599803125
2,-12517.3838156983
2.04,-12648.1357921105
2.08,-12720.0976789198
2.12,-12727.6068988317
2.16,-12682.0835040704
2.2,-12573.9380567254
2.24,-12415.3881879487
2.28,-12201.0721016332
2.32,-11954.241510182
2.36,-11659.5032647554
2.4,-11335.5769932424
2.44,-10965.4487415155
2.48,-10575.3047553805
2.52,-10165.6061364247
2.56,-9729.87147049946
2.6,-9278.69024514668
2.64,-8812.36145356313
2.68,-8334.05278149483
2.72,-7844.61528004378
2.76,-7349.86797762218
2.8,-6832.91173358269
2.84,-6307.7544330314
2.88,-5767.3160245421
2.92,-5206.58158869056
2.96,-4625.22721379199
3,-4021.72330814502
3.04,-3398.84695493993
3.08,-2785.23995720118
3.12,-2176.52295329933
3.16,-1553.99057728421
3.2,-930.559153885061
3.24,-298.653368106676
3.28,344.986893061675
3.32,1002.49691040847
3.36,1664.90385309268
3.4,2354.91295446337
3.44,3047.28892183991
3.48,3754.23720061875
3.52,4455.77550476529
3.56,5168.13105655047
3.6,5872.42402307281
3.64,6578.09542560492
3.68,7260.90618276725
3.72,7941.94258455363
3.76,8590.8887548718
3.8,9217.44636863904
3.84,9803.5757302779
3.88,10352.6288874957
3.92,10861.0674022589
3.96,11312.3548594039
4,11717.7845289983
4.04,12065.5262601509
4.08,12379.6612701273
4.12,12634.4491048977
4.16,12849.14797891
4.2,13007.511337821
4.24,13121.4516723618
4.28,13178.6521693907
4.32,13189.3124591063
4.36,13159.1415090621
4.4,13070.3180551351
4.44,12950.0541705836
4.48,12779.4025524406
4.52,12582.0112846138
4.56,12346.5440047847
4.6,12082.2421888782
4.64,11793.0595340871
4.68,11479.7675629191
4.72,11156.1541017389
4.76,10810.3807476386
4.8,10461.8590792093
4.84,10102.2044477431
4.88,9746.58178594708
4.92,9380.04458987682
4.96,9018.20167740094
5,8669.46971189574
