"yaw graf"
"Tempo (sec)","Beccheggio/Imbardata/Rollio4 (deg)"
0,-89.9999990621795
0.04,-85.0689087764652
0.08,-80.4464386812271
0.12,-76.1259327764652
0.16,-72.1007350621794
0.2,-68.3641895383694
0.24,-64.9096402050366
0.28,-61.7304310621794
0.32,-58.8199061097985
0.36,-56.1714093478937
0.4,-53.7782847764651
0.44,-51.6338763955127
0.48,-49.7315282050366
0.52,-48.0645842050365
0.56,-46.6263883955127
0.6,-45.4102847764651
0.64,-44.4096173478937
0.68,-43.6177301097982
0.72,-43.0279670621794
0.76,-42.6336722050365
0.8,-42.4281895383699
0.84,-42.4048630621794
0.88,-42.5570367764651
0.92,-42.8780546812267
0.96,-43.3612607764651
1,-43.9999990621794
1.04,-44.7875464907508
1.08,-45.7169118240842
1.12,-46.7810367764651
1.16,-47.9728630621794
1.2,-49.2853323955127
1.24,-50.7113864907508
1.28,-52.243967062179
1.32,-53.8760158240842
1.36,-55.6004744907509
1.4,-57.4102847764651
1.44,-59.2983883955128
1.48,-61.2577270621794
1.52,-63.2812424907509
1.56,-65.3618763955128
1.6,-67.4925704907509
1.64,-69.6662664907509
1.68,-71.8759061097985
1.72,-74.1144310621792
1.76,-76.3747830621795
1.8,-78.6499038240843
1.84,-80.9327350621795
1.88,-83.216218490751
1.92,-85.4932958240843
1.96,-87.7569087764653
2,-89.9999990621795
2.04,-92.2158436336081
2.08,-94.3990603955127
2.12,-96.544602490751
2.16,-98.6474230621796
2.2,-100.702475252656
2.24,-102.704712205037
2.28,-104.64908706218
2.32,-106.530552966941
2.36,-108.34406306218
2.4,-110.084570490751
2.44,-111.747028395513
2.48,-113.326389919322
2.52,-114.817608205037
2.56,-116.215636395513
2.6,-117.515427633608
2.64,-118.71193506218
2.68,-119.800111824084
2.72,-120.77491106218
2.76,-121.631285919322
2.8,-122.36418953837
2.84,-122.96857506218
2.88,-123.439395633608
2.92,-123.771604395513
2.96,-123.960154490751
3,-123.999999062179
3.04,-123.887889347894
3.08,-123.627768966941
3.12,-123.225379633608
3.16,-122.68646306218
3.2,-122.016760966941
3.24,-121.22201506218
3.28,-120.30796706218
3.32,-119.280358681227
3.36,-118.144931633608
3.4,-116.907427633608
3.44,-115.573588395513
3.48,-114.149155633608
3.52,-112.639871062179
3.56,-111.051476395512
3.6,-109.389713347894
3.64,-107.660323633608
3.68,-105.869048966941
3.72,-104.021631062179
3.76,-102.123811633607
3.8,-100.181332395513
3.84,-98.1999350621794
3.88,-96.1853613478936
3.92,-94.1433529669413
3.96,-92.0796516336082
4,-89.9999990621793
4.04,-87.9097773478937
4.08,-85.8129301097986
4.12,-83.7130413478936
4.16,-81.6136950621788
4.2,-79.5184752526555
4.24,-77.4309659193221
4.28,-75.3547510621793
4.32,-73.2934146812269
4.36,-71.250540776465
4.4,-69.2297133478936
4.44,-67.2345163955126
4.48,-65.2685339193222
4.52,-63.3353499193221
4.56,-61.4385483955126
4.6,-59.581713347894
4.64,-57.768428776465
4.68,-56.0022786812269
4.72,-54.2868470621792
4.76,-52.6257179193227
4.8,-51.0224752526554
4.84,-49.4807030621793
4.88,-48.0039853478937
4.92,-46.5959061097983
4.96,-45.2600493478936
5,-43.9999990621794
