Grafico8;
Tempo (sec);Coppia motore5 (newton-mm)
0;1094,371367
0,04;1060,911995
0,08;1030,078831
0,12;986,9507363
0,16;946,1208337
0,2;900,656581
0,24;858,5922142
0,28;799,9099066
0,32;745,8633651
0,36;687,0266187
0,4;630,0109262
0,44;562,0723332
0,48;495,2039248
0,52;423,100387
0,56;351,3434239
0,6;275,9693763
0,64;197,3767221
0,68;114,8375608
0,72;30,38764396
0,76;54,9171715
0,8;144,881057
0,84;231,2241259
0,88;330,7030882
0,92;427,147651
0,96;526,6102843
1;628,696144
1,04;730,9630729
1,08;837,6760054
1,12;944,561309
1,16;1054,238403
1,2;1166,497076
1,24;1274,94568
1,28;1395,351291
1,32;1512,630425
1,36;1626,854727
1,4;1752,292894
1,44;1874,147841
1,48;1991,239942
1,52;2123,115251
1,56;2249,07071
1,6;2371,328612
1,64;2505,675761
1,68;2635,286843
1,72;2758,22101
1,76;2897,999231
1,8;3030,857096
1,84;3156,768
1,88;3297,855105
1,92;3433,82828
1,96;3567,786708
2;3703,23362
2,04;3840,24661
2,08;3976,780196
2,12;4111,880795
2,16;4244,78174
2,2;4385,217248
2,24;4521,444868
2,28;4654,059305
2,32;4793,129034
2,36;4929,948281
2,4;5064,202067
2,44;5198,124922
2,48;5329,923969
2,52;5465,51815
2,56;5597,917283
2,6;5726,765701
2,64;5859,166512
2,68;5988,564739
2,72;6117,31654
2,76;6243,731483
2,8;6366,547953
2,84;6493,138461
2,88;6616,343328
2,92;6737,382594
2,96;6856,324578
3;6971,237447
3,04;7089,362038
3,08;7203,645489
3,12;7315,480726
3,16;7425,175614
3,2;7531,387055
3,24;7637,806848
3,28;7740,141147
3,32;7841,9655
3,36;7940,741743
3,4;8036,196915
3,44;8129,432573
3,48;8217,256197
3,52;8308,168004
3,56;8393,523189
3,6;8476,431473
3,64;8556,339774
3,68;8632,415557
3,72;8706,717802
3,76;8775,927383
3,8;8845,529878
3,84;8910,62302
3,88;8972,181443
3,92;9031,04067
3,96;9085,730856
4;9137,836897
4,04;9185,32842
4,08;9231,875127
4,12;9273,174043
4,16;9312,521876
4,2;9347,994407
4,24;9379,488006
4,28;9407,489518
4,32;9431,629479
4,36;9452,82484
4,4;9468,893886
4,44;9483,734056
4,48;9493,352681
4,52;9499,860292
4,56;9502,509017
4,6;9500,869039
4,64;9495,595465
4,68;9486,460051
4,72;9473,234
4,76;9455,893348
4,8;9435,268653
4,84;9409,861582
4,88;9380,959883
4,92;9347,952242
4,96;9310,174179
5;9268,65065
