Grafico8;
Tempo (sec);Coppia motore5 (newton-mm)
0;1094,371367
0,04;1112,880975
0,08;1136,999824
0,12;1154,150786
0,16;1178,924631
0,2;1204,289816
0,24;1237,117176
0,28;1260,361382
0,32;1292,257993
0,36;1324,254834
0,4;1367,917072
0,44;1394,521479
0,48;1432,677886
0,52;1470,204062
0,56;1512,197631
0,6;1554,002326
0,64;1597,355286
0,68;1643,957965
0,72;1687,019901
0,76;1735,626592
0,8;1783,181087
0,84;1837,209797
0,88;1884,725536
0,92;1936,946264
0,96;1989,512083
1;2042,852148
1,04;2099,306065
1,08;2155,44739
1,12;2216,632442
1,16;2270,686392
1,2;2329,756957
1,24;2389,789907
1,28;2448,413675
1,32;2511,197116
1,36;2571,699795
1,4;2639,802953
1,44;2698,635789
1,48;2762,350223
1,52;2832,688926
1,56;2890,980157
1,6;2957,136557
1,64;3021,292802
1,68;3087,319101
1,72;3155,587545
1,76;3221,066007
1,8;3291,405866
1,84;3356,801816
1,88;3424,090676
1,92;3500,339896
1,96;3559,627518
2;3628,36111
2,04;3695,518517
2,08;3763,124125
2,12;3832,99115
2,16;3898,81603
2,2;3968,167805
2,24;4037,173761
2,28;4103,874891
2,32;4177,301762
2,36;4239,966335
2,4;4307,165426
2,44;4379,970611
2,48;4440,319391
2,52;4507,501438
2,56;4573,509347
2,6;4637,418891
2,64;4704,242856
2,68;4768,474647
2,72;4832,349886
2,76;4896,715601
2,8;4958,650191
2,84;5025,549216
2,88;5083,934002
2,92;5144,821418
2,96;5212,07495
3;5265,022712
3,04;5324,782245
3,08;5385,401154
3,12;5439,130824
3,16;5496,900161
3,2;5551,71689
3,24;5605,671181
3,28;5661,362922
3,32;5712,25432
3,36;5765,878302
3,4;5817,051169
3,44;5866,088704
3,48;5922,636358
3,52;5963,090553
3,56;6009,714228
3,6;6061,59993
3,64;6098,606925
3,68;6142,54642
3,72;6183,729383
3,76;6223,059722
3,8;6264,010856
3,84;6299,673508
3,88;6337,828533
3,92;6373,419733
3,96;6406,053609
4;6443,386718
4,04;6470,042645
4,08;6499,020686
4,12;6533,920075
4,16;6553,019187
4,2;6578,333831
4,24;6605,197121
4,28;6621,747063
4,32;6642,958333
4,36;6660,307447
4,4;6675,835851
4,44;6692,362131
4,48;6703,813047
4,52;6716,32749
4,56;6725,90535
4,6;6732,601682
4,64;6742,47838
4,68;6742,758439
4,72;6744,104992
4,76;6751,002219
4,8;6742,170653
4,84;6738,20357
4,88;6739,857279
4,92;6723,219148
4,96;6713,639211
5;6703,487661
