Grafico8;
Tempo (sec);Coppia motore5 (newton-mm)
0;6,541660292
0,04;108,7006016
0,08;203,4333729
0,12;309,8797841
0,16;412,6325218
0,2;515,9120529
0,24;621,5234849
0,28;721,964771
0,32;831,8713914
0,36;938,3369493
0,4;1042,075162
0,44;1156,101384
0,48;1260,751403
0,52;1369,576104
0,56;1483,524404
0,6;1586,602773
0,64;1699,406622
0,68;1809,774063
0,72;1914,290226
0,76;2031,908449
0,8;2140,721666
0,84;2251,219558
0,88;2365,29724
0,92;2473,787902
0,96;2584,067735
1;2694,173201
1,04;2809,651938
1,08;2912,271655
1,12;3021,022544
1,16;3134,996438
1,2;3238,200513
1,24;3345,161677
1,28;3447,701729
1,32;3559,095478
1,36;3659,605632
1,4;3762,404552
1,44;3862,117905
1,48;3966,805201
1,52;4066,27644
1,56;4157,18306
1,6;4260,101764
1,64;4354,968062
1,68;4448,794085
1,72;4535,874134
1,76;4631,435065
1,8;4719,240887
1,84;4811,528026
1,88;4888,793397
1,92;4970,969625
1,96;5055,667357
2;5130,494063
2,04;5206,320788
2,08;5273,002217
2,12;5349,796348
2,16;5418,379684
2,2;5487,203326
2,24;5547,313408
2,28;5611,21692
2,32;5667,32681
2,36;5728,854038
2,4;5778,673787
2,44;5829,962538
2,48;5872,948938
2,52;5925,216598
2,56;5967,720781
2,6;6013,944398
2,64;6045,007782
2,68;6079,952704
2,72;6116,109158
2,76;6143,760638
2,8;6170,938529
2,84;6199,620447
2,88;6215,806643
2,92;6235,479341
2,96;6259,188671
3;6267,853145
3,04;6280,086509
3,08;6287,909573
3,12;6295,02845
3,16;6299,876963
3,2;6309,033969
3,24;6303,742858
3,28;6302,040977
3,32;6297,090253
3,36;6290,145558
3,4;6281,95706
3,44;6275,311232
3,48;6261,226735
3,52;6246,967304
3,56;6237,794579
3,6;6212,747576
3,64;6193,553624
3,68;6170,85714
3,72;6152,243404
3,76;6127,162374
3,8;6109,808151
3,84;6075,545765
3,88;6047,45525
3,92;6014,585987
3,96;5989,991529
4;5955,354803
4,04;5926,519857
4,08;5891,261898
4,12;5860,627616
4,16;5820,16467
4,2;5786,320278
4,24;5744,888184
4,28;5709,388225
4,32;5670,380214
4,36;5638,657652
4,4;5591,128319
4,44;5549,833502
4,48;5514,679309
4,52;5463,676122
4,56;5421,775595
4,6;5372,407092
4,64;5332,054808
4,68;5282,284604
4,72;5240,754274
4,76;5189,873528
4,8;5145,142401
4,84;5090,403512
4,88;5042,134804
4,92;4989,493776
4,96;4935,661491
5;4881,394209
