grafpitch;
Tempo (sec);Beccheggio/Imbardata/Rollio6 (deg)
0;
0,04;-2,704988979
0,08;-5,281109121
0,12;-7,578114398
0,16;-9,616333818
0,2;-11,41552072
0,24;-12,99690269
0,28;-14,38286802
0,32;-15,59410282
0,36;-16,65055403
0,4;-17,56825237
0,44;-18,3676588
0,48;-19,06109869
0,52;-19,66281782
0,56;-20,18315935
0,6;-20,63478793
0,64;-21,02578306
0,68;-21,36300653
0,72;-21,65607626
0,76;-21,90919982
0,8;-22,1285357
0,84;-22,31629609
0,88;-22,48057043
0,92;-22,62202711
0,96;-22,74488016
1;-22,84904554
1,04;-22,94087406
1,08;-23,0197713
1,12;-23,08844153
1,16;-23,14629458
1,2;-23,19747477
1,24;-23,24147806
1,28;-23,28003177
1,32;-23,31176777
1,36;-23,34045848
1,4;-23,36495105
1,44;-23,38651473
1,48;-23,40345578
1,52;-23,42003261
1,56;-23,43372992
1,6;-23,44551672
1,64;-23,4557923
1,68;-23,46470084
1,72;-23,47183605
1,76;-23,47861867
1,8;-23,4844152
1,84;-23,48921136
1,88;-23,49319299
1,92;-23,4970427
1,96;-23,50049417
2;-23,50217848
2,04;-23,5051629
2,08;-23,50731161
2,12;-23,50971087
2,16;-23,5098154
2,2;-23,51184103
2,24;-23,51309445
2,28;-23,51440116
2,32;-23,51455255
2,36;-23,5155598
2,4;-23,51670424
2,44;-23,51590368
2,48;-23,51716616
2,52;-23,51775334
2,56;-23,51812303
2,6;-23,51807416
2,64;-23,5185909
2,68;-23,51955156
2,72;-23,5185015
2,76;-23,51915608
2,8;-23,51982366
2,84;-23,51857993
2,88;-23,51947058
2,92;-23,51986279
2,96;-23,51907887
3;-23,51964455
3,04;-23,51992909
3,08;-23,52004445
3,12;-23,51969265
3,16;-23,52000723
3,2;-23,52065599
3,24;-23,51963043
3,28;-23,52006894
3,32;-23,52083156
3,36;-23,51955336
3,4;-23,52010559
3,44;-23,52078174
3,48;-23,51939746
3,52;-23,52011571
3,56;-23,52066389
3,6;-23,51930659
3,64;-23,52011299
3,68;-23,52054828
3,72;-23,51931437
3,76;-23,52008055
3,8;-23,5204813
3,84;-23,51935629
3,88;-23,52005344
3,92;-23,52044571
3,96;-23,51941609
4;-23,52006114
4,04;-23,52045148
4,08;-23,51944618
4,12;-23,52007231
4,16;-23,52046062
4,2;-23,51944683
4,24;-23,52006899
4,28;-23,52051363
4,32;-23,51941522
4,36;-23,52009975
4,4;-23,5205767
4,44;-23,51935191
4,48;-23,52011638
4,52;-23,52068404
4,56;-23,51936579
4,6;-23,52017166
4,64;-23,52085337
4,68;-23,51948406
4,72;-23,52019115
4,76;-23,52093844
4,8;-23,51963158
4,84;-23,52021248
4,88;-23,52086655
4,92;-23,51978054
4,96;-23,52025626
5;-23,52056054
