grafpitch;
Tempo (sec);Beccheggio/Imbardata/Rollio6 (deg)
0;
0,04;-2,704989286
0,08;-5,281109633
0,12;-7,578115231
0,16;-9,616335067
0,2;-11,4155225
0,24;-12,9969042
0,28;-14,38287079
0,32;-15,59410606
0,36;-16,6505587
0,4;-17,56825703
0,44;-18,36766308
0,48;-19,06110305
0,52;-19,66282039
0,56;-20,18316336
0,6;-20,63479105
0,64;-21,02578505
0,68;-21,36301035
0,72;-21,65607772
0,76;-21,90920121
0,8;-22,12853477
0,84;-22,31626879
0,88;-22,48055066
0,92;-22,62201181
0,96;-22,74486947
1;-22,84905857
1,04;-22,94086039
1,08;-23,01972874
1,12;-23,08855561
1,16;-23,1460357
1,2;-23,19745229
1,24;-23,24145938
1,28;-23,28011214
1,32;-23,31170259
1,36;-23,34046038
1,4;-23,36499783
1,44;-23,38681632
1,48;-23,40392539
1,52;-23,42009666
1,56;-23,43377115
1,6;-23,44621706
1,64;-23,4549788
1,68;-23,46435548
1,72;-23,47199779
1,76;-23,47877663
1,8;-23,48371444
1,84;-23,48898863
1,88;-23,4933529
1,92;-23,49727291
1,96;-23,49951598
2;-23,50278365
2;-23,50278365
2,02728429;-24,25328689
2,04;-26,78654197
2,08;-32,06730026
2,099618714;-32,24599597
2,12;-31,76477038
2,122502659;-31,66231831
2,16;-29,89931106
2,2;-29,5694027
2,24;-29,32599031
2,28;-29,05891748
2,32;-28,81616062
2,36;-28,59680519
2,4;-28,40225984
2,44;-28,23034363
2,48;-28,07914435
2,52;-27,94792699
2,56;-27,84337981
2,6;-27,76342821
2,64;-27,67967202
2,68;-27,60556709
2,72;-27,54124794
2,76;-27,51234339
2,8;-27,52351879
2,84;-27,52116236
2,88;-27,49913286
2,92;-27,4710343
2,96;-27,44632358
3;-27,42618378
3,04;-27,41184808
3,08;-27,41631672
3,12;-27,43029035
3,16;-27,45034366
3,2;-27,47033474
3,24;-27,48950158
3,28;-27,50700623
3,32;-27,52215308
3,36;-27,5341349
3,4;-27,54341378
3,44;-27,55405468
3,48;-27,56404769
3,52;-27,57287581
3,56;-27,58297432
3,6;-27,59245289
3,64;-27,60143067
3,68;-27,60971091
3,72;-27,6180326
3,76;-27,62637384
3,8;-27,63387704
3,84;-27,64198273
3,88;-27,65048709
3,918232517;-27,65860363
3,92;-27,65901923
3,96;-27,66836792
4;-27,67775417
4,04;-27,68767809
4,08;-27,69736825
4,12;-27,70759563
4,16;-27,71774212
4,2;-27,72840963
4,24;-27,73897446
4,28;-27,74986583
4,32;-27,76049785
4,345235135;-27,76739896
4,36;-27,77148284
4,4;-27,78240079
4,44;-27,79360676
4,48;-27,80469516
4,52;-27,81605431
4,56;-27,82705066
4,6;-27,83839574
4,64;-27,84953036
4,68;-27,86098678
4,72;-27,87223314
4,76;-27,88375946
4,8;-27,89482615
4,84;-27,90623733
4,88;-27,91731407
4,92;-27,92885225
4,96;-27,94008233
5;-27,95150295
