Grafico11;
Tempo (sec);Beccheggio/Imbardata/Rollio5 (deg)
0;
0,04;-4,00E-14
0,08;-5,45E-14
0,12;-6,13E-14
0,16;-2,24E-14
0,2;-5,17E-14
0,24;-2,45E-14
0,28;-4,60E-14
0,32;-4,98E-14
0,36;-6,76E-14
0,4;-3,28E-14
0,44;-2,63E-14
0,48;-6,05E-14
0,52;-2,80E-14
0,56;-2,88E-14
0,6;-2,94E-14
0,64;-2,99E-14
0,68;-3,04E-14
0,72;-3,08E-14
0,76;-3,11E-14
0,8;-3,14E-14
0,84;-2,25E-13
0,88;-3,19E-14
0,92;-1,25E-14
0,96;-3,22E-14
1;-3,24E-14
1,04;3,20E-13
1,08;-4,25E-14
1,12;3,22E-13
1,16;8,28E-14
1,2;1,53E-13
1,24;-3,29E-14
1,28;-3,29E-14
1,32;-3,30E-14
1,36;2,95E-13
1,4;8,35E-14
1,44;-3,31E-14
1,48;-3,31E-14
1,52;-4,32E-14
1,56;-3,31E-14
1,6;-2,30E-14
1,64;-1,85E-13
1,68;-1,29E-14
1,72;-2,31E-14
1,76;-1,29E-14
1,8;-3,32E-14
1,84;4,29E-13
1,88;-6,72E-13
1,92;-3,32E-14
1,96;-3,32E-14
2;-3,32E-14
2;-3,32E-14
2,02728429;-15,68141904
2,04;-25,71658097
2,08;-39,98761888
2,099618714;-43,49392906
2,12;-46,38676654
2,122502659;-46,69015214
2,16;-49,45515416
2,2;-50,29870396
2,24;-50,64699676
2,28;-50,76169421
2,32;-50,82866057
2,36;-50,8542203
2,4;-50,86095972
2,44;-50,85619336
2,48;-50,84360764
2,52;-50,84991091
2,56;-50,90451212
2,6;-50,98211366
2,64;-51,01109307
2,68;-51,02258292
2,72;-51,03125533
2,76;-51,08931954
2,8;-51,18086302
2,84;-51,24101963
2,88;-51,2690726
2,92;-51,28197074
2,96;-51,28767911
3;-51,28906217
3,04;-51,28784749
3,08;-51,28642147
3,12;-51,28704479
3,16;-51,29038979
3,2;-51,29554419
3,24;-51,30184325
3,28;-51,30834781
3,32;-51,31434195
3,36;-51,31890419
3,4;-51,32239694
3,44;-51,32547804
3,48;-51,32816034
3,52;-51,33057196
3,56;-51,33281286
3,6;-51,33498297
3,64;-51,33705032
3,68;-51,33896504
3,72;-51,34086735
3,76;-51,34272243
3,8;-51,34456089
3,84;-51,34635609
3,88;-51,34823665
3,918232517;-51,35013571
3,92;-51,35022801
3,96;-51,35231225
4;-51,35452412
4,04;-51,35690895
4,08;-51,35936535
4,12;-51,36197026
4,16;-51,36468461
4,2;-51,36755033
4,24;-51,37050043
4,28;-51,37355781
4,32;-51,37674153
4,345235135;-51,37878251
4,36;-51,37999113
4,4;-51,38330814
4,44;-51,38674843
4,48;-51,39023136
4,52;-51,39379361
4,56;-51,39743642
4,6;-51,40111657
4,64;-51,40484294
4,68;-51,40865239
4,72;-51,41247729
4,76;-51,41636572
4,8;-51,42028144
4,84;-51,42422675
4,88;-51,42820698
4,92;-51,43222818
4,96;-51,43625057
5;-51,43996828
