grafpitch;
Tempo (sec);Beccheggio/Imbardata/Rollio6 (deg)
0;
0,04;5,253563616
0,08;9,873576946
0,12;13,75746461
0,16;17,06725832
0,2;19,92160014
0,24;22,40740472
0,28;24,5886687
0,32;26,51615797
0,36;28,22916837
0,4;29,75824179
0,44;31,12904406
0,48;32,36252257
0,52;33,47522299
0,56;34,48190123
0,6;35,39508717
0,64;36,22460144
0,68;36,97966692
0,72;37,66827085
0,76;38,29682736
0,8;38,87154419
0,84;39,39739829
0,88;39,87909314
0,92;40,32094477
0,96;40,72630088
1;41,09859864
1,04;41,44071677
1,08;41,75525943
1,11655559;42,02075492
1,12;42,04465867
1,16;42,23752653
1,2;42,30763017
1,24;42,34722383
1,28;42,37065741
1,32;42,38685711
1,36;42,39824325
1,4;42,40635155
1,44;42,41216801
1,48;42,41634581
1,52;42,4193979
1,56;42,42159575
1,6;42,42319974
1,64;42,4243632
1,68;42,42519313
1,72;42,42582909
1,76;42,42627281
1,8;42,42660199
1,84;42,42684022
1,88;42,4269905
1,92;42,42713136
1,96;42,42723848
2;42,42730848
2;42,42730848
2,0001;42,4271208
2,019396152;42,11134625
2,04;45,56816353
2,053183523;50,18871475
2,08;50,28704029
2,12;49,94516392
2,16;49,64367526
2,2;49,4011675
2,24;49,21403721
2,28;49,05647658
2,32;48,91700009
2,36;48,7906456
2,4;48,67351071
2,44;48,56351682
2,48;48,46031
2,52;48,36311369
2,56;48,27182288
2,6;48,18612043
2,64;48,10525524
2,68;48,02907945
2,72;47,95715745
2,76;47,88896855
2,8;47,82488045
2,84;47,76451252
2,88;47,70756156
2,92;47,65469121
2,96;47,60572717
3;47,5602831
3,04;47,51847485
3,08;47,47941667
3,12;47,44288506
3,16;47,40902758
3,2;47,37740324
3,24;47,34787637
3,28;47,32050427
3,32;47,29471099
3,36;47,27052377
3,4;47,24829317
3,44;47,22734483
3,48;47,20753089
3,52;47,18905559
3,56;47,17161265
3,6;47,15516531
3,64;47,1398566
3,68;47,12521988
3,72;47,11132131
3,76;47,09860313
3,8;47,08649124
3,84;47,07485191
3,88;47,06401667
3,92;47,05375934
3,96;47,0439641
4;47,03483004
4,04;47,02605648
4,08;47,01758007
4,12;47,00986534
4,16;47,00253268
4,2;46,99526924
4,24;46,98856027
4,28;46,98239572
4,32;46,97642108
4,36;46,97080019
4,4;46,96554031
4,44;46,96044496
4,48;46,95565508
4,52;46,95123547
4,56;46,94676843
4,6;46,94241628
4,64;46,93862032
4,68;46,93494692
4,72;46,93109407
4,76;46,9274885
4,8;46,92420773
4,84;46,92089907
4,88;46,91766467
4,92;46,91462274
4,96;46,91162992
5;46,90867458
