Grafico11;
Tempo (sec);Beccheggio/Imbardata/Rollio5 (deg)
0;
0,04;-7,36E-14
0,08;5,12E-14
0,12;-6,75E-14
0,16;-6,91E-14
0,2;-4,07E-14
0,24;-9,43E-14
0,28;-8,28E-14
0,32;-9,46E-14
0,36;-8,41E-14
0,4;-9,52E-14
0,44;-8,60E-14
0,48;-8,24E-14
0,52;-9,77E-14
0,56;-3,50E-14
0,6;-8,29E-14
0,64;-8,65E-14
0,68;-9,16E-14
0,72;-1,09E-13
0,76;-1,48E-13
0,8;-8,19E-14
0,84;-8,54E-14
0,88;-9,24E-14
0,92;-8,74E-14
0,96;-1,09E-13
1;2,95E-14
1,04;-9,45E-14
1,08;-3,32E-14
1,11655559;-9,30E-14
1,12;-8,01E-14
1,16;1,47E-13
1,2;-2,82E-13
1,24;-1,94E-14
1,28;-8,73E-14
1,32;1,50E-13
1,36;-9,91E-14
1,4;-2,03E-13
1,44;-9,20E-14
1,48;-4,67E-14
1,52;-4,60E-14
1,56;-8,37E-14
1,6;1,62E-14
1,64;-9,66E-14
1,68;-7,27E-14
1,72;-1,01E-13
1,76;-8,59E-14
1,8;-8,70E-14
1,84;-9,77E-14
1,88;7,87E-14
1,92;-5,58E-14
1,96;-1,11E-13
2;-7,63E-14
2;-7,63E-14
2,0001;-0,000194131
2,019396152;-4,206387767
2,04;-21,48392401
2,053183523;-30,22631181
2,08;-31,78487154
2,12;-32,90945091
2,16;-33,47991227
2,2;-33,7250777
2,24;-33,89981454
2,28;-34,03182481
2,32;-34,13807994
2,36;-34,22509495
2,4;-34,29177237
2,44;-34,34821206
2,48;-34,39711591
2,52;-34,43981905
2,56;-34,47711766
2,6;-34,50969548
2,64;-34,5372753
2,68;-34,55879053
2,72;-34,57542045
2,76;-34,58811998
2,8;-34,59759933
2,84;-34,60447546
2,88;-34,60929449
2,92;-34,61486267
2,96;-34,62276034
3;-34,63225671
3,04;-34,64220563
3,08;-34,65201525
3,12;-34,66166997
3,16;-34,67104833
3,2;-34,68006579
3,24;-34,68866678
3,28;-34,69678153
3,32;-34,70445583
3,36;-34,7116452
3,4;-34,71831201
3,44;-34,72450485
3,48;-34,72990632
3,52;-34,73455128
3,56;-34,7385646
3,6;-34,74205695
3,64;-34,74507474
3,68;-34,7477473
3,72;-34,7501025
3,76;-34,75214162
3,8;-34,75396442
3,84;-34,75559326
3,88;-34,75704132
3,92;-34,75833071
3,96;-34,75950609
4;-34,76054264
4,04;-34,76150244
4,08;-34,76238267
4,12;-34,7631523
4,16;-34,76386092
4,2;-34,7648362
4,24;-34,7661477
4,28;-34,76769868
4,32;-34,76946227
4,36;-34,77134171
4,4;-34,77332637
4,44;-34,7753774
4,48;-34,7774511
4,52;-34,77950717
4,56;-34,78159454
4,6;-34,78366397
4,64;-34,78566134
4,68;-34,7876234
4,72;-34,78956402
4,76;-34,79145547
4,8;-34,79327189
4,84;-34,79505661
4,88;-34,79677342
4,92;-34,79844733
4,96;-34,80007098
5;-34,80165149
