yaw graf; 
"Tempo (sec),""Beccheggio/Imbardata/Rollio4 (deg)""";
0,-90.0000000000001;
0.04,-90.0000000000001;
0.08,-90.0000000000002;
0.12,-90.0000000000001;
0.16,-90.0000000000001;
0.2,-90.0000000000001;
0.24,-90;
0.28,-90;
0.32,-89.9999999999999;
0.36,-90;
0.4,-90;
0.44,-90;
0.48,-90;
0.52,-90;
0.56,-90;
0.6,-90;
0.64,-90;
0.68,-90;
0.72,-90;
0.76,-89.9999999999998;
0.8,-90;
0.84,-90;
0.88,-90;
0.92,-89.9999999999999;
0.96,-90;
1,-90;
1.04,-90;
1.08,-89.9999999999998;
1.11655558973077,-90;
1.12,-90;
1.16,-90;
1.2,-89.9999999999997;
1.24,-90;
1.28,-90.0000000000001;
1.32,-89.9999999999997;
1.36,-90;
1.4,-90;
1.44,-90;
1.48,-90.0000000000002;
1.52,-90.0000000000002;
1.56,-90;
1.6,-90.0000000000005;
1.64,-90;
1.68,-90.0000000000001;
1.72,-90;
1.76,-90;
1.8,-89.9999999999994;
1.84,-90;
1.88,-90.0000000000003;
1.92,-90.0000000000002;
1.96,-90;
2,-90.0000000000001;
2,-90.0000000000001;
2.0001,-89.9998214451551;
2.0193961518325,-87.5978526973286;
2.04,-77.3049611695172;
2.05318352286705,-70.6002466712355;
2.08,-69.3987621404013;
2.12,-68.3952573237231;
2.16,-67.6841453932577;
2.2,-67.118587618038;
2.24,-66.5925696095443;
2.28,-66.1052856009507;
2.32,-65.654527616915;
2.36,-65.2382857348258;
2.4,-64.8545923836045;
2.44,-64.5001112772843;
2.48,-64.1724349153268;
2.52,-63.8682606274566;
2.56,-63.5865453374145;
2.6,-63.3256869948627;
2.64,-63.0839002753163;
2.68,-62.8620638190616;
2.72,-62.6575878664038;
2.76,-62.4678736189539;
2.8,-62.2931653635713;
2.84,-62.1316534076411;
2.88,-61.9818581773261;
2.92,-61.8423123219385;
2.96,-61.7106965159249;
3,-61.5868400814324;
3.04,-61.4724593291551;
3.08,-61.3657330650032;
3.12,-61.2660585839507;
3.16,-61.1740429201279;
3.2,-61.0885283781483;
3.24,-61.0092246772907;
3.28,-60.9363875928364;
3.32,-60.8683356264079;
3.36,-60.8052096128294;
3.4,-60.7480787944358;
3.44,-60.6949681128741;
3.48,-60.6458041286805;
3.52,-60.6011645091159;
3.56,-60.5600284545198;
3.6,-60.522192551081;
3.64,-60.4880194029493;
3.68,-60.456038379296;
3.72,-60.4264128833425;
3.76,-60.400428740859;
3.8,-60.3763317699218;
3.84,-60.3537076407631;
3.88,-60.333519189773;
3.92,-60.3150818372193;
3.96,-60.2980318539596;
4,-60.2829654732926;
4.04,-60.2689608615329;
4.08,-60.2558336521086;
4.12,-60.2449705336823;
4.16,-60.2352237286325;
4.2,-60.2253309705931;
4.24,-60.2166294612726;
4.28,-60.2091856522823;
4.32,-60.2020211453065;
4.36,-60.195702169095;
4.4,-60.1902756708936;
4.44,-60.1852057542792;
4.48,-60.1809605688473;
4.52,-60.1777633281191;
4.56,-60.174363554286;
4.6,-60.1712781821631;
4.64,-60.1698469577236;
4.68,-60.1687795986739;
4.72,-60.1671836379176;
4.76,-60.1663323206824;
4.8,-60.1664669844329;
4.84,-60.1665379425328;
4.88,-60.1668656832736;
4.92,-60.1677795653578;
4.96,-60.1688603938669;
5,-60.170082200363;
