Grafico11;
Tempo (sec);Beccheggio/Imbardata/Rollio5 (deg)
0;0
0,04;-27,83928008
0,061430086;-38,71622806
0,08;-39,86031361
0,12;-40,78641
0,16;-41,2065169
0,2;-41,3783435
0,24;-41,44610526
0,28;-41,4760523
0,32;-41,4994461
0,36;-41,51985441
0,4;-41,53806537
0,44;-41,55450995
0,48;-41,56947682
0,52;-41,58317294
0,56;-41,59575795
0,6;-41,60735859
0,64;-41,61807963
0,68;-41,62800834
0,72;-41,63721975
0,76;-41,64577746
0,8;-41,65373874
0,84;-41,66115275
0,88;-41,66806408
0,92;-41,67451144
0,96;-41,68053097
1;-41,68615414
1,04;-41,69141059
1,08;-41,69632629
1,12;-41,70092628
1,16;-41,7052316
1,2;-41,70926292
1,24;-41,71303971
1,28;-41,71657757
1,32;-41,71989381
1,36;-41,72300265
1,4;-41,72591766
1,44;-41,72865187
1,48;-41,73121643
1,52;-41,73362263
1,56;-41,7358808
1,6;-41,73799989
1,64;-41,73998906
1,68;-41,741856
1,72;-41,74360963
1,76;-41,74525565
1,8;-41,74680138
1,84;-41,74825351
1,88;-41,74961691
1,92;-41,7508977
1,96;-41,75210047
2;-41,75323122
2,04;-41,75429301
2,08;-41,75529051
2,12;-41,75622803
2,16;-41,75710886
2,2;-41,75793665
2,24;-41,75871438
2,28;-41,75944549
2,32;-41,76013242
2,36;-41,76077858
2,4;-41,76138509
2,44;-41,76195551
2,48;-41,76249127
2,52;-41,76299561
2,56;-41,76346919
2,6;-41,76391412
2,64;-41,76433282
2,68;-41,76472626
2,72;-41,76509622
2,76;-41,76544415
2,8;-41,76577097
2,84;-41,7660781
2,88;-41,76636737
2,92;-41,7666387
2,96;-41,76689409
3;-41,7671343
3,04;-41,76736002
3,08;-41,76757205
3,12;-41,76777208
3,16;-41,76795941
3,2;-41,76813588
3,24;-41,76830173
3,28;-41,76845774
3,32;-41,76860406
3,36;-41,76874233
3,4;-41,76887165
3,44;-41,76899359
3,48;-41,7691083
3,52;-41,76921605
3,56;-41,76931708
3,6;-41,76941257
3,64;-41,76950196
3,68;-41,76958596
3,72;-41,76966543
3,76;-41,76973975
3,8;-41,76980999
3,84;-41,76987566
3,88;-41,76993764
3,92;-41,76999553
3,96;-41,77005062
4;-41,77010197
4,04;-41,77015077
4,08;-41,77019604
4,12;-41,77023883
4,16;-41,77027929
4,2;-41,77031688
4,24;-41,77035267
4,28;-41,77038595
4,32;-41,7704174
4,36;-41,77044677
4,4;-41,77047488
4,44;-41,7705008
4,48;-41,7705257
4,52;-41,77054866
4,56;-41,77057011
4,6;-41,77059092
4,64;-41,77060979
4,68;-41,77062818
4,72;-41,77064472
4,76;-41,77066081
4,8;-41,77067573
4,84;-41,77068963
4,88;-41,77070272
4,92;-41,7707152
4,96;-41,77072705
5;-41,77073782
