StartTime: 2020-12-22 23:18:45.488
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz	q0	q1	q2	q3
0x50	 23:18:45.488	 2020-11-06 15:48:01.090	0,3423	-0,2095	0,9194	0,1221	-0,0610	0,0000	-12,8650	-20,3632	10,2228	30,00	3,68	-108	41	-266	0,97592	-0,09415	-0,18481	0,06744
0x50	 23:18:45.533	 2020-11-06 15:48:01.190	0,3403	-0,2090	0,9194	-0,5493	0,1221	0,0000	-12,9199	-20,3522	11,6400	30,04	3,68	-112	42	-264	0,97498	-0,09238	-0,18588	0,07938
0x50	 23:18:45.639	 2020-11-06 15:48:01.290	0,3521	-0,1924	0,9258	-0,6104	7,0801	-2,8076	-12,9694	-20,2148	12,6947	30,07	3,68	-111	39	-265	0,97437	-0,09125	-0,18561	0,08844
0x50	 23:18:45.744	 2020-11-06 15:48:01.390	0,3369	-0,2373	0,9077	0,0000	5,4932	-23,6816	-13,0792	-19,7919	13,5022	30,07	3,68	-107	42	-266	0,97421	-0,09134	-0,18274	0,09561
0x50	 23:18:45.847	 2020-11-06 15:48:01.490	0,3291	-0,2065	0,9199	4,5776	2,6245	-14,2822	-11,8707	-19,8358	11,5411	30,05	3,68	-103	35	-266	0,97659	-0,08414	-0,18069	0,08078
0x50	 23:18:45.952	 2020-11-06 15:48:01.590	0,3315	-0,2031	0,9277	1,7700	0,7935	-4,2725	-11,3544	-19,8578	10,4205	30,10	3,68	-100	30	-268	0,97766	-0,08145	-0,17972	0,07205
0x50	 23:18:46.054	 2020-11-06 15:48:01.690	0,3354	-0,1738	0,9307	0,7935	0,6104	0,5493	-11,1896	-19,8248	9,8932	30,02	3,68	-97	30	-270	0,97815	-0,08090	-0,17899	0,06781
0x50	 23:18:46.142	 2020-11-06 15:48:01.790	0,3306	-0,1777	0,9302	-2,3804	1,0986	-0,4883	-11,1896	-19,7424	9,2285	30,04	3,68	-95	29	-268	0,97864	-0,08203	-0,17783	0,06219
0x50	 23:18:46.245	 2020-11-06 15:48:01.890	0,3247	-0,2168	0,9194	1,7090	1,5869	-4,9438	-10,9479	-19,6875	8,2123	30,08	3,68	-95	26	-267	0,97940	-0,08154	-0,17648	0,05399
0x50	 23:18:46.335	 2020-11-06 15:48:01.990	0,3345	-0,1602	0,9390	5,1880	3,1738	-9,7046	-10,4260	-19,6216	7,0367	30,03	3,68	-94	22	-268	0,98038	-0,07895	-0,17487	0,04477
0x50	 23:18:46.436	 2020-11-06 15:48:02.090	0,3252	-0,1646	0,9316	2,6855	1,2817	-6,1035	-9,6625	-19,5117	5,5096	30,03	3,68	-92	16	-269	0,98157	-0,07477	-0,17267	0,03293
0x50	 23:18:46.541	 2020-11-06 15:48:02.190	0,3257	-0,1602	0,9346	2,0142	0,7935	-3,1128	-9,2230	-19,4788	4,2462	30,06	3,68	-89	18	-271	0,98221	-0,07294	-0,17145	0,02280
0x50	 23:18:46.647	 2020-11-06 15:48:02.290	0,3247	-0,1470	0,9365	1,3428	-0,4272	0,1831	-9,0582	-19,4623	3,4497	30,05	3,68	-89	16	-267	0,98245	-0,07272	-0,17078	0,01620
0x50	 23:18:46.741	 2020-11-06 15:48:02.390	0,3237	-0,1323	0,9355	1,4038	-0,1831	1,0986	-8,9648	-19,4897	2,8674	30,07	3,68	-90	16	-267	0,98257	-0,07278	-0,17062	0,01135
0x50	 23:18:46.856	 2020-11-06 15:48:02.490	0,3345	-0,1035	0,9487	1,5869	1,4038	-9,8267	-8,8055	-19,5007	1,6150	30,07	3,68	-88	15	-270	0,98270	-0,07327	-0,16992	0,00085
0x50	 23:18:46.935	 2020-11-06 15:48:02.590	0,3306	-0,1113	0,9463	3,5400	2,4414	-15,9912	-7,8168	-19,4843	-1,1261	30,10	3,68	-83	12	-270	0,98309	-0,06885	-0,16818	-0,02124
0x50	 23:18:47.043	 2020-11-06 15:48:02.690	0,3174	-0,1343	0,9287	3,9063	0,2441	-10,8032	-6,8939	-19,4843	-3,9331	30,08	3,68	-80	6	-270	0,98285	-0,06503	-0,16678	-0,04395
0x50	 23:18:47.146	 2020-11-06 15:48:02.790	0,3296	-0,1006	0,9453	4,0894	1,2207	-11,5967	-6,2018	-19,5776	-6,5918	30,07	3,68	-77	2	-271	0,98181	-0,06299	-0,16641	-0,06577
0x50	 23:18:47.251	 2020-11-06 15:48:02.890	0,3271	-0,1123	0,9419	3,9673	-0,3662	-9,9487	-5,3339	-19,6381	-9,3274	30,09	3,68	-74	-1	-270	0,98035	-0,05957	-0,16605	-0,08798
0x50	 23:18:47.336	 2020-11-06 15:48:02.990	0,3345	-0,0659	0,9414	5,5542	1,3428	-12,2070	-4,4385	-19,7150	-12,2662	30,07	3,68	-75	-3	-269	0,97812	-0,05624	-0,16602	-0,11179
0x50	 23:18:47.434	 2020-11-06 15:48:03.090	0,3262	-0,0371	0,9478	4,6997	0,4883	-11,9629	-3,4882	-19,7314	-15,3204	30,09	3,68	-67	-7	-269	0,97525	-0,05255	-0,16574	-0,13644
0x50	 23:18:47.543	 2020-11-06 15:48:03.190	0,3228	-0,0840	0,9434	5,5542	0,6104	-13,9160	-2,3126	-19,6875	-19,1327	30,07	3,68	-65	-12	-268	0,97079	-0,04800	-0,16525	-0,16711
0x50	 23:18:47.647	 2020-11-06 15:48:03.290	0,3198	-0,0557	0,9351	3,8452	-0,5493	-5,6763	-1,5820	-19,6985	-21,6595	30,06	3,68	-61	-15	-267	0,96716	-0,04553	-0,16544	-0,18744
0x50	 23:18:47.752	 2020-11-06 15:48:03.390	0,3267	-0,0146	0,9429	0,0000	-0,6714	-1,7700	-1,4117	-19,8083	-23,4229	30,07	3,68	-64	-20	-266	0,96405	-0,04678	-0,16599	-0,20200
0x50	 23:18:47.829	 2020-11-06 15:48:03.490	0,3281	-0,0308	0,9404	2,9907	-0,8545	-5,7373	-0,9448	-19,8688	-25,8563	30,07	3,68	-59	-21	-267	0,95966	-0,04654	-0,16632	-0,22174
0x50	 23:18:47.945	 2020-11-06 15:48:03.590	0,3452	0,0059	0,9604	10,5591	0,0610	-7,6294	-0,1318	-19,8962	-28,1085	30,07	3,68	-60	-23	-266	0,95541	-0,04306	-0,16733	-0,23938
0x50	 23:18:48.046	 2020-11-06 15:48:03.690	0,3330	0,0454	0,9438	12,5122	1,8311	-11,8408	1,2195	-19,8303	-30,7343	30,07	3,68	-56	-28	-265	0,95026	-0,03552	-0,16882	-0,25928
0x50	 23:18:48.150	 2020-11-06 15:48:03.790	0,3271	0,0415	0,9443	4,4556	0,0610	-4,9438	2,3401	-19,7150	-33,1567	30,09	3,68	-53	-34	-263	0,94507	-0,02954	-0,16980	-0,27771
0x50	 23:18:48.229	 2020-11-06 15:48:03.890	0,3188	0,0435	0,9390	5,4321	0,2441	-9,2163	3,2135	-19,6326	-35,7111	30,10	3,68	-52	-34	-260	0,93896	-0,02594	-0,17068	-0,29745
0x50	 23:18:48.353	 2020-11-06 15:48:03.990	0,3276	0,0503	0,9434	-0,1831	0,0000	2,0142	3,4552	-19,6106	-37,0789	30,07	3,68	-51	-38	-260	0,93542	-0,02594	-0,17087	-0,30832
0x50	 23:18:48.436	 2020-11-06 15:48:04.090	0,3027	-0,1094	0,9385	-25,4517	5,3101	24,5972	2,5818	-19,4897	-36,9580	30,10	3,68	-50	-39	-259	0,93570	-0,03253	-0,16754	-0,30869
0x50	 23:18:48.557	 2020-11-06 15:48:04.190	0,3276	-0,1299	0,9385	-27,9541	5,4932	55,9082	-1,6150	-19,0833	-32,7722	30,07	3,68	-59	-26	-263	0,94534	-0,06012	-0,15512	-0,28043
0x50	 23:18:48.643	 2020-11-06 15:48:04.290	0,3306	0,0728	0,9609	-22,5830	-1,7700	47,8516	-6,7291	-18,6823	-27,4109	30,10	3,68	-72	-5	-268	0,95471	-0,09467	-0,14368	-0,24265
0x50	 23:18:48.761	 2020-11-06 15:48:04.390	0,3091	-0,1768	0,9351	-13,6108	-0,6104	20,3247	-9,0857	-18,4186	-25,8948	30,07	3,68	-79	12	-270	0,95612	-0,11197	-0,13797	-0,23285
0x50	 23:18:48.870	 2020-11-06 15:48:04.490	0,3042	-0,1758	0,9346	-4,3335	-4,6997	10,0098	-10,0800	-18,5010	-23,8458	30,07	3,68	-83	21	-273	0,95905	-0,11792	-0,13873	-0,21692
0x50	 23:18:48.932	 2020-11-06 15:48:04.590	0,3164	-0,1445	0,9561	-3,3569	-1,6479	8,9111	-10,9149	-18,6163	-21,4673	30,07	3,68	-90	24	-272	0,96228	-0,12225	-0,14072	-0,19809
0x50	 23:18:49.042	 2020-11-06 15:48:04.690	0,2959	-0,1812	0,9253	1,0986	-1,7700	8,5449	-11,3818	-18,5614	-19,2810	30,07	3,68	-91	33	-268	0,96548	-0,12335	-0,14182	-0,18021
