StartTime: 2020-12-22 22:53:29.231
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz	q0	q1	q2	q3
0x50	 22:53:29.231	 2020-11-06 15:22:41.400	0,1221	0,1323	0,9736	-0,3662	0,7324	1,2817	7,9980	-7,2400	161,6473	21,91	3,72	-110	242	-275	0,15439	0,07330	0,05869	0,98352
0x50	 22:53:29.316	 2020-11-06 15:22:41.500	0,1357	0,1221	0,9785	1,4648	-5,3101	-1,2817	7,9651	-7,2675	161,6364	21,94	3,72	-108	241	-273	0,15451	0,07349	0,05832	0,98352
0x50	 22:53:29.422	 2020-11-06 15:22:41.600	0,1387	0,1475	0,9697	2,5024	-4,2114	4,6997	8,2397	-7,8003	161,7847	21,95	3,72	-108	242	-272	0,15262	0,07831	0,06006	0,98334
0x50	 22:53:29.528	 2020-11-06 15:22:41.700	0,1235	0,1450	0,9751	0,1221	1,8921	0,9766	8,1903	-8,1024	162,0099	21,95	3,72	-110	240	-273	0,15054	0,08072	0,05936	0,98349
0x50	 22:53:29.640	 2020-11-06 15:22:41.800	0,1626	0,1455	0,9600	-1,4648	3,6621	-0,1221	8,1299	-7,8442	162,0264	21,95	3,72	-111	243	-271	0,15060	0,07843	0,05920	0,98367
0x50	 22:53:29.720	 2020-11-06 15:22:41.900	0,1270	0,1333	0,9468	1,1597	2,3804	1,7090	8,1189	-7,6245	162,1582	21,92	3,72	-110	243	-271	0,14966	0,07651	0,05951	0,98395
0x50	 22:53:29.825	 2020-11-06 15:22:42.000	0,1431	0,0752	0,9751	-2,4414	2,3804	0,9766	8,3276	-6,9983	162,4658	21,93	3,72	-106	243	-273	0,14734	0,07123	0,06238	0,98453
0x50	 22:53:29.929	 2020-11-06 15:22:42.100	0,1470	0,1504	0,9453	2,1362	4,4556	-2,8076	8,4100	-6,7236	162,2186	21,98	3,72	-106	242	-276	0,14960	0,06909	0,06326	0,98428
0x50	 22:53:30.036	 2020-11-06 15:22:42.200	0,0830	0,1230	1,0732	-2,1973	-8,2397	3,5400	8,5419	-5,4053	162,4109	21,98	3,72	-102	241	-279	0,14880	0,05786	0,06631	0,98492
0x50	 22:53:30.113	 2020-11-06 15:22:42.300	0,0850	0,1519	0,9863	1,6479	0,1831	2,2583	8,5474	-5,7239	162,3230	21,96	3,72	-101	240	-278	0,14932	0,06064	0,06589	0,98471
0x50	 22:53:30.222	 2020-11-06 15:22:42.400	0,0645	0,1426	0,9937	-1,1597	-1,0986	-1,4648	8,4320	-5,7184	162,1637	21,94	3,72	-106	242	-276	0,15073	0,06055	0,06485	0,98456
0x50	 22:53:30.355	 2020-11-06 15:22:42.500	0,1318	0,1333	0,9673	-0,6104	4,2725	-2,3193	8,4540	-5,5042	162,0703	21,97	3,72	-103	240	-273	0,15167	0,05878	0,06528	0,98450
0x50	 22:53:30.412	 2020-11-06 15:22:42.600	0,0410	0,1729	1,1133	8,7280	8,9111	-1,2817	8,5638	-4,5209	161,8341	21,95	3,72	-97	241	-278	0,15436	0,05060	0,06744	0,98441
0x50	 22:53:30.519	 2020-11-06 15:22:42.700	0,1030	0,1646	1,0005	5,6152	-0,6714	-1,2207	9,1077	-4,6088	161,7242	21,97	3,72	-99	237	-279	0,15497	0,05222	0,07199	0,98389
0x50	 22:53:30.618	 2020-11-06 15:22:42.800	0,0752	0,1802	0,9531	4,1504	-7,2632	0,4272	9,9866	-5,4822	161,6144	21,97	3,72	-106	235	-280	0,15482	0,06094	0,07819	0,98294
0x50	 22:53:30.724	 2020-11-06 15:22:42.900	0,1187	0,1763	0,9277	6,2866	-4,4556	-2,1973	10,5634	-6,3501	161,1530	21,97	3,72	-106	231	-277	0,15768	0,06949	0,08163	0,98163
0x50	 22:53:30.810	 2020-11-06 15:22:43.000	0,1250	0,1753	0,9507	3,2959	-11,5967	-4,5166	11,0632	-6,7621	160,7410	21,99	3,72	-109	229	-275	0,16052	0,07401	0,08505	0,98056
0x50	 22:53:30.925	 2020-11-06 15:22:43.100	0,1289	0,2251	0,9775	2,0142	0,2441	2,7466	11,3544	-7,0587	160,6696	21,98	3,72	-110	227	-274	0,16074	0,07697	0,08707	0,98010
0x50	 22:53:31.020	 2020-11-06 15:22:43.200	0,1523	0,2026	0,9951	7,0190	-6,1035	2,1362	11,9092	-7,1466	160,8893	22,00	3,72	-108	228	-275	0,15839	0,07831	0,09180	0,97995
0x50	 22:53:31.129	 2020-11-06 15:22:43.300	0,1113	0,1621	0,9346	0,6104	-6,7139	2,1973	12,1838	-7,7179	161,2244	21,96	3,72	-107	223	-275	0,15475	0,08331	0,09357	0,97995
0x50	 22:53:31.213	 2020-11-06 15:22:43.400	0,1226	0,2046	0,9243	0,7324	5,2490	0,4272	12,2168	-7,7948	161,2463	22,02	3,72	-107	221	-275	0,15445	0,08401	0,09372	0,97992
0x50	 22:53:31.333	 2020-11-06 15:22:43.500	0,1479	0,1968	0,8760	1,8921	30,5176	0,7935	12,4200	-6,3831	161,6748	21,96	3,72	-108	221	-279	0,15204	0,07184	0,09781	0,98087
0x50	 22:53:31.444	 2020-11-06 15:22:43.600	0,1353	0,2520	0,9102	-5,6763	-2,5635	-12,9395	11,7883	-5,9711	161,2463	21,95	3,72	-101	221	-278	0,15656	0,06781	0,09274	0,98096
0x50	 22:53:31.514	 2020-11-06 15:22:43.700	0,0977	0,1953	0,9199	4,0894	4,1504	2,5024	11,9476	-5,8942	161,3947	21,98	3,72	-104	224	-277	0,15521	0,06726	0,09430	0,98105
0x50	 22:53:31.616	 2020-11-06 15:22:43.800	0,0898	0,2319	0,8931	-0,9155	20,0806	1,8921	12,3322	-4,7351	161,8781	22,05	3,72	-103	224	-282	0,15204	0,05746	0,09955	0,98166
0x50	 22:53:31.704	 2020-11-06 15:22:43.900	0,0820	0,1943	0,9009	-0,3662	-1,1597	-3,6621	11,5851	-3,6090	161,5540	22,01	3,72	-96	224	-281	0,15619	0,04709	0,09454	0,98206
0x50	 22:53:31.830	 2020-11-06 15:22:44.000	0,0708	0,2114	0,9482	0,7324	9,7046	1,3428	11,5686	-3,1476	161,6858	22,05	3,72	-93	224	-282	0,15552	0,04300	0,09512	0,98227
0x50	 22:53:31.908	 2020-11-06 15:22:44.100	0,0420	0,1870	0,9287	-0,9155	35,2173	-1,8311	11,6071	-1,1096	162,1692	22,02	3,72	-85	224	-286	0,15314	0,02518	0,09842	0,98294
0x50	 22:53:32.017	 2020-11-06 15:22:44.200	-0,0781	0,2134	1,0361	1,8921	26,3062	3,0518	11,8762	2,4884	162,7734	21,99	3,72	-75	225	-292	0,15109	-0,00589	0,10550	0,98285
0x50	 22:53:32.106	 2020-11-06 15:22:44.300	-0,0420	0,2114	0,9727	-1,3428	0,9155	-2,3193	11,7059	3,3124	162,6855	22,03	3,72	-67	226	-297	0,15256	-0,01309	0,10510	0,98257
0x50	 22:53:32.209	 2020-11-06 15:22:44.400	-0,0728	0,1963	0,9619	0,1221	2,9907	0,9766	11,6290	3,4991	162,6910	22,01	3,72	-63	225	-296	0,15265	-0,01480	0,10468	0,98260
