StartTime: 2020-12-22 23:29:56.389
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz	q0	q1	q2	q3
0x50	 23:29:56.389	 2020-11-06 15:59:13.490	0,2500	-0,0234	0,9941	0,6104	0,9155	-0,3662	-2,1753	-14,4470	-35,5243	30,59	3,67	-57	-15	-301	-0,94385	0,05627	0,11398	0,30487
0x50	 23:29:56.495	 2020-11-06 15:59:13.590	0,2334	-0,0410	0,9644	-1,2207	1,2817	-1,5869	-2,0160	-14,3207	-35,5133	30,53	3,67	-59	-12	-302	-0,94409	0,05466	0,11337	0,30463
0x50	 23:29:56.600	 2020-11-06 15:59:13.690	0,2441	-0,0259	0,9590	-1,0376	1,3428	-1,0376	-2,1478	-14,1669	-35,7275	30,52	3,67	-57	-11	-299	-0,94363	0,05554	0,11166	0,30655
0x50	 23:29:56.682	 2020-11-06 15:59:13.790	0,2305	-0,0469	0,9585	1,8921	0,0000	0,3052	-2,0215	-14,1064	-36,0406	30,54	3,67	-56	-12	-301	-0,94290	0,05463	0,11133	0,30905
0x50	 23:29:56.783	 2020-11-06 15:59:13.890	0,2319	-0,0317	0,9814	4,2114	0,0610	1,0986	-1,8622	-14,0845	-36,1505	30,54	3,67	-57	-10	-298	-0,94272	0,05338	0,11151	0,30978
0x50	 23:29:56.886	 2020-11-06 15:59:13.990	0,2339	-0,0313	0,9644	5,4321	0,5493	3,3569	-1,2854	-13,9746	-35,4694	30,49	3,67	-56	-15	-300	-0,94489	0,04767	0,11249	0,30365
0x50	 23:29:56.991	 2020-11-06 15:59:14.090	0,2271	-0,0205	0,9609	-2,3193	0,3052	-0,4272	-1,3513	-13,9197	-35,3650	30,52	3,67	-57	-15	-298	-0,94522	0,04797	0,11188	0,30286
0x50	 23:29:57.088	 2020-11-06 15:59:14.190	0,2490	-0,0244	0,9727	-0,8545	-0,1831	-0,6104	-1,3239	-13,8922	-35,8484	30,51	3,67	-57	-15	-298	-0,94397	0,04813	0,11151	0,30682
0x50	 23:29:57.199	 2020-11-06 15:59:14.290	0,2217	-0,0225	0,9839	-0,4883	-2,2583	0,4883	-1,4337	-14,0460	-36,0516	30,58	3,67	-55	-14	-302	-0,94321	0,04965	0,11243	0,30859
0x50	 23:29:57.282	 2020-11-06 15:59:14.390	0,2373	-0,0386	0,9658	-0,3052	-0,4883	0,1221	-1,3129	-14,0735	-35,8429	30,54	3,67	-54	-16	-298	-0,94379	0,04855	0,11307	0,30673
